Label,ColocFromAvolume,ColocFromBvolume,ColocFromABvolume,Dist CenterA-CenterB,Dist min CenterA-EdgeB,Dist min EdgeA-CenterB
objA1_objB1,8.451,7.258,3.905,0.530,0.200,0.236
objA2_objB2,44.207,44.547,22.188,0.345,0.025,0.009
objA3_objB1,31.663,31.855,15.879,0.360,0.072,0.054
objA3_objB4,1.403,1.759,0.780,0.586,0.277,0.257
objA4_objB5,36.015,36.364,18.094,0.361,0.022,0.021
objA5_objB3,37.611,37.946,18.889,0.293,0.019,0.015
objA6_objB4,5.985,6.030,3.004,0.325,0.163,0.180
objA7_objB6,41.844,41.647,20.873,0.258,0.021,0.005
objA8_objB7,42.995,43.627,21.655,0.265,0.006,0.005
objA10_objB8,55.140,55.660,27.700,0.227,0.016,0.012
objA11_objB9,65.932,66.420,33.088,0.221,0.007,0.007
objA12_objB10,62.295,63.687,31.492,0.174,0.010,0.009
objA13_objB11,58.532,58.640,29.293,0.244,0.009,0.007
objA14_objB12,68.092,68.885,34.243,0.120,0.009,0.015
objA15_objB13,74.688,75.157,37.461,0.150,0.007,0.004
objA16_objB14,53.769,53.859,26.907,0.258,0.012,0.010
objA17_objB15,85.872,86.734,43.150,0.096,0.005,0.007
objA18_objB17,52.506,53.012,26.379,0.248,0.011,0.006
objA19_objB20,2.747,2.646,1.348,0.603,0.285,0.272
objA20_objB18,63.421,64.267,31.921,0.183,0.013,0.006
objA21_objB16,86.700,86.064,43.190,0.054,0.005,0.009
objA22_objB19,79.695,80.431,40.031,0.125,0.015,0.013
objA23_objB20,47.532,48.413,23.984,0.244,0.012,0.010
objA24_objB21,93.599,93.761,46.840,0.035,0.007,0.012
objA25_objB22,67.437,68.737,34.040,0.232,0.011,0.008
objA26_objB24,72.794,73.469,36.565,0.163,0.013,0.009
objA27_objB23,86.224,86.645,43.217,0.084,0.008,0.008
objA28_objB26,72.462,72.887,36.337,0.163,0.013,0.007
objA29_objB25,50.447,50.538,25.246,0.267,0.012,0.006
