Label,Volume (unit),Volume (pixel),Mean,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret,integrated Density
ObjA-1,0.007,426,216.920,112,248,36.948,169.423,13.329,0,169.418,13.129,0,0.650,92408
ObjA-2,0.012,656,172.049,120,232,20.407,85.901,37.294,0,85.631,37.214,0,0.866,112864
ObjA-3,0.009,499,189.098,112,232,25.569,186.886,38.046,0,186.819,37.897,0,0.676,94360
ObjA-4,0.009,522,193.594,120,248,29.800,39.730,49.554,0,39.568,49.830,0,0.732,101056
ObjA-5,0.008,452,208.319,120,248,36.553,149.637,56.347,0,149.753,56.236,0,0.675,94160
ObjA-6,0.007,401,179.611,120,232,26.124,205.282,65.796,0,205.073,66.141,0,0.884,72024
ObjA-7,0.007,423,196.217,120,248,31.294,108.702,71.392,0,108.629,71.366,0,0.714,83000
ObjA-8,0.007,414,185.565,120,224,26.807,72.766,78.981,0,72.672,78.793,0,0.628,76824
ObjA-9,0.009,504,197.873,112,248,29.489,15.960,87.637,0,15.579,87.267,0,0.832,99728
ObjA-10,0.008,428,201.495,112,248,36.869,138.423,84.425,0,138.143,84.502,0,0.801,86240
ObjA-11,0.012,681,198.320,112,240,29.392,181.888,103.761,0,181.907,103.709,0,0.897,135056
ObjA-12,0.006,366,196.022,112,232,30.391,109.292,109.751,0,109.345,109.705,0,0.607,71744
ObjA-13,0.010,545,198.253,104,240,30.738,42.785,114.728,0,42.837,114.574,0,0.765,108048
ObjA-14,0.011,608,189.842,112,232,28.184,131.273,129.771,0,131.231,130.035,0,1.140,115424
ObjA-15,0.011,640,192.463,120,248,33.401,169.181,135.805,0,169.283,136.205,0,0.977,123176
ObjA-16,0.010,597,210.077,104,248,35.267,228.409,136.209,0,228.278,136.117,0,0.745,125416
ObjA-17,0.016,906,197.837,120,248,31.513,91.047,159.196,0,90.851,159.825,0,1.316,179240
ObjA-18,0.007,419,198.854,120,248,33.686,17.759,159.363,0,17.748,159.491,0,0.682,83320
ObjA-19,0.006,364,199.077,120,248,28.869,245.280,165.000,0,245.650,164.717,0,0.794,72464
ObjA-20,0.007,380,194.800,120,240,32.170,45.503,164.903,0,45.496,164.851,0,0.643,74024
ObjA-21,0.007,406,180.059,120,232,25.240,138.108,164.155,0,138.010,164.189,0,0.707,73104
ObjA-22,0.012,655,199.756,120,240,32.467,179.345,186.453,0,179.519,186.283,0,0.801,130840
ObjA-23,0.007,385,206.774,112,248,39.602,232.470,194.013,0,232.414,193.978,0,0.614,79608
ObjA-24,0.010,578,200.830,104,240,29.631,129.102,197.735,0,129.021,197.697,0,0.723,116080
ObjA-25,0.008,476,166.672,120,232,26.177,23.723,206.691,0,23.541,205.979,0,0.877,79336
ObjA-26,0.010,544,188.838,120,216,25.256,59.401,211.700,0,59.463,211.730,0,0.770,102728
ObjA-27,0.011,617,219.229,112,248,38.556,100.253,211.804,0,100.308,211.770,0,0.816,135264
ObjA-28,0.015,857,197.246,112,248,30.109,176.065,234.505,0,175.735,234.369,0,1.052,169040
ObjA-29,0.010,559,216.258,104,248,38.084,229.823,236.571,0,229.783,236.690,0,0.715,120888
